,Zip,City,State,Latitude,Longitude,Timezone,Daylight savings time flag,geopoint,2010 Population,Land-Sq-Mi,Density Per Sq Mile,contains_college
387,84057,Orem,UT,40.311854,-111.70561,-7,1,"40.311854,-111.70561",36666,6.313,5808.015207,True
388,60459,Burbank,IL,41.744082,-87.77022,-6,1,"41.744082,-87.77022",28929,4.197,6892.7805579999995,False
389,20011,Washington,DC,38.95211,-77.02096999999999,-5,1,"38.95211,-77.02097",58536,4.875,12007.38462,False
390,90062,Los Angeles,CA,34.003213,-118.3078,-8,1,"34.003213,-118.3078",32821,1.9340000000000002,16970.5274,False
391,98406,Tacoma,WA,47.263020000000004,-122.49518,-8,1,"47.26302,-122.49518",21610,4.268,5063.2614810000005,False
392,6854,Norwalk,CT,41.092196,-73.42869,-5,1,"41.092196,-73.42869",29100,4.882,5960.671856,False
393,19383,West Chester,PA,39.94545,-75.602401,-5,1,"39.94545,-75.602401",3169,0.06,52816.66667,False
394,14201,Buffalo,NY,42.896407,-78.88515,-5,1,"42.896407,-78.88515",11549,1.024,11278.32031,False
395,75246,Dallas,TX,32.791878000000004,-96.77365,-6,1,"32.791878,-96.77365",2770,0.452,6128.318584000001,False
396,90211,Beverly Hills,CA,34.066009,-118.38271,-8,1,"34.066009,-118.38271",8434,0.7,12048.57143,False
397,91020,Montrose,CA,34.211494,-118.23104,-8,1,"34.211494,-118.23104",8415,0.752,11190.15957,False
398,98119,Seattle,WA,47.63877,-122.36693999999999,-8,1,"47.63877,-122.36694",21039,2.437,8633.155519,False
399,20710,Bladensburg,MD,38.941428,-76.93005,-5,1,"38.941428,-76.93005",9313,1.1,8466.363636,False
400,60076,Skokie,IL,42.03618,-87.7321,-6,1,"42.03618,-87.7321",33415,5.354,6241.128129,False
401,19111,Philadelphia,PA,40.057660999999996,-75.08018,-5,1,"40.057661,-75.08018",63090,4.831,13059.40799,False
402,10029,New York,NY,40.791585999999995,-73.94575,-5,1,"40.791586,-73.94575",76003,0.812,93599.75369,False
403,98146,Seattle,WA,47.501753,-122.35688,-8,1,"47.501753,-122.35688",25922,4.651,5573.42507,False
404,37201,Nashville,TN,36.164556,-86.77738000000001,-6,1,"36.164556,-86.77738",2137,0.305,7006.557376999999,False
405,11717,Brentwood,NY,40.783954,-73.24517,-5,1,"40.783954,-73.24517",60745,10.907,5569.359127000001,False
406,91754,Monterey Park,CA,34.048207,-118.14161000000001,-8,1,"34.048207,-118.14161",32742,4.532,7224.624890000001,True
407,92703,Santa Ana,CA,33.747067,-117.90433,-8,1,"33.747067,-117.90433",65445,4.077,16052.2443,False
408,10044,New York,NY,40.762174,-73.94917,-5,1,"40.762174,-73.94917",11661,0.22899999999999998,50921.39738,False
409,11415,Kew Gardens,NY,40.706903000000004,-73.82973,-5,1,"40.706903,-73.82973",19341,0.568,34051.056339999996,False
410,19119,Philadelphia,PA,40.053511,-75.18858,-5,1,"40.053511,-75.18858",27035,3.237,8351.869015,False
411,10465,Bronx,NY,40.825727,-73.81752,-5,1,"40.825727,-73.81752",42230,3.424,12333.528040000001,False
412,15228,Pittsburgh,PA,40.372802,-80.0448,-5,1,"40.372802,-80.0448",17595,3.141,5601.719198,False
413,21217,Baltimore,MD,39.306306,-76.63786,-5,1,"39.306306,-76.63786",37111,2.315,16030.66955,False
414,77056,Houston,TX,29.747328000000003,-95.46931,-6,1,"29.747328,-95.46931",18673,3.4589999999999996,5398.381035,True
